,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,,GP,1000,,nan,,0.00396751384451,-1.34370827389,,,,52.272453
0,,GP,750,,nan,,0.00422879383686,-1.3083538597,,,,66.810591
0,,SGP,1000,50,nan,,0.0268737555571,-0.190937717018,,,,90.174737
0,,SGP,750,50,nan,,0.0219963122949,-0.213138122848,,,,107.688364
